iter	Logloss
0	0.6788711056
1	0.6668849618
2	0.6551565439
3	0.6432420856
4	0.6322738733
5	0.6227381159
6	0.6134379936
7	0.6042924492
8	0.5965980568
9	0.5883246273
10	0.5814508308
11	0.5735581213
12	0.5671686081
13	0.5602333617
14	0.5545148528
15	0.5497767036
16	0.5446380893
17	0.5397019874
18	0.5348565409
19	0.5304500078
20	0.5260390244
21	0.5223549897
22	0.5189271029
23	0.5153264908
24	0.5118420817
25	0.5084494682
26	0.5054480227
27	0.5020302586
28	0.4990596007
29	0.49655516
30	0.4943780079
31	0.4917720885
32	0.4894571485
33	0.4875631562
34	0.4853864362
35	0.4831943021
36	0.481348417
37	0.4794828369
38	0.4775438677
39	0.4760379398
40	0.4743324974
41	0.4728853765
42	0.471190109
43	0.4696994807
44	0.4683723275
45	0.4672087887
46	0.4658701367
47	0.4645328708
48	0.4635070742
49	0.4626575766
50	0.4613914874
51	0.4601814483
52	0.4592563052
53	0.4580425487
54	0.4570518715
55	0.4559798646
56	0.4552856059
57	0.4544667793
58	0.4537870413
59	0.4528724397
60	0.4521445207
61	0.4514446659
62	0.4505337702
63	0.4498463585
64	0.4492041551
65	0.4484742382
66	0.4477880965
67	0.4471199622
68	0.4465190262
69	0.4458872192
70	0.445473482
71	0.4447252319
72	0.444122566
73	0.4434154472
74	0.4430031847
75	0.4422640591
76	0.4416626788
77	0.4411747574
78	0.4406651557
79	0.4402156777
80	0.4396222481
81	0.4392380348
82	0.4387483066
83	0.438185445
84	0.4375572296
85	0.4370848786
86	0.4366975673
87	0.436374329
88	0.4360647538
89	0.4355113078
90	0.4350860141
91	0.4347638879
92	0.4343559762
93	0.4340388904
94	0.4336119076
95	0.4333252724
96	0.4330777699
97	0.432759231
98	0.4323111105
99	0.4320630573
100	0.4317370425
101	0.4312975688
102	0.4310045464
103	0.4307246502
104	0.4304297308
105	0.4300409978
106	0.4297839617
107	0.4294484662
108	0.4291399097
109	0.4286418187
110	0.4282130521
111	0.4278674912
112	0.4274868175
113	0.4272132927
114	0.4269822937
115	0.4266250868
116	0.4263312885
117	0.4260186197
118	0.4257959051
119	0.4255002897
120	0.425114792
121	0.4247893904
122	0.4244169088
123	0.4241944767
124	0.4239567987
125	0.4237040372
126	0.4233817854
127	0.4231309925
128	0.4228650706
129	0.4226239757
130	0.4223808641
131	0.422169345
132	0.4219416002
133	0.4216931993
134	0.4214770083
135	0.4213307346
136	0.4210188238
137	0.4207068641
138	0.4204528926
139	0.4202303444
140	0.4200098737
141	0.4196483039
142	0.419504147
143	0.4191821568
144	0.4189553819
145	0.4187579491
146	0.4185178562
147	0.4183993852
148	0.4181307059
149	0.4179026425
150	0.4177093251
151	0.4175714632
152	0.4172642617
153	0.4170260395
154	0.4168444087
155	0.4166105117
156	0.4163169062
157	0.4161841522
158	0.4160937267
159	0.4157383551
160	0.415590858
161	0.415500872
162	0.4153945951
163	0.4151651906
164	0.4149261305
165	0.41471816
166	0.4146178451
167	0.4144830938
168	0.4143311948
169	0.4141531315
170	0.4139980313
171	0.413804259
172	0.4136134681
173	0.4134415075
174	0.4133729621
175	0.4131754274
176	0.4129173863
177	0.4126868615
178	0.4124276914
179	0.4122468506
180	0.4121557808
181	0.4119628721
182	0.4118597587
183	0.4116930127
184	0.4114035121
185	0.4112472066
186	0.4109728965
187	0.4107863525
188	0.4106118527
189	0.4104472522
190	0.4103731882
191	0.4101850233
192	0.41003009
193	0.4098833177
194	0.409755403
195	0.4095773221
196	0.4092720975
197	0.4090724341
198	0.4089563105
199	0.4087774364
200	0.408548917
201	0.4084218142
202	0.4082868622
203	0.4080967855
204	0.407768943
205	0.4075556195
206	0.4074012088
207	0.4072610953
208	0.4070184697
209	0.4067885261
210	0.4067192819
211	0.4063739231
212	0.4062733237
213	0.4060735051
214	0.4058012992
215	0.4056963826
216	0.4055286067
217	0.4053701898
218	0.4051563758
219	0.4049668679
220	0.4048703735
221	0.4047461559
222	0.4044932727
223	0.404274791
224	0.4042241694
225	0.4040708949
226	0.4039446408
227	0.4037780805
228	0.4036359582
229	0.4035044074
230	0.4033465245
231	0.4031850115
232	0.4030295211
233	0.4028956127
234	0.4028109933
235	0.402620338
236	0.4025158583
237	0.4023395603
238	0.402174891
239	0.4020355651
240	0.4018432141
241	0.401657817
242	0.401486728
243	0.4013371715
244	0.4010636917
245	0.4009405296
246	0.4006882968
247	0.4004462116
248	0.400296987
249	0.4001056212
250	0.3999880727
251	0.3998350015
252	0.3996958997
253	0.3996236351
254	0.3994835952
255	0.39934562
256	0.3990322778
257	0.3989476156
258	0.3987662885
259	0.3987170885
260	0.3986715003
261	0.3984163441
262	0.3982519402
263	0.3980638614
264	0.3979470084
265	0.3976910771
266	0.3975490269
267	0.3974263529
268	0.3973102268
269	0.3971988144
270	0.3970975073
271	0.3970066417
272	0.3968866826
273	0.396674977
274	0.3964962103
275	0.3962968818
276	0.3961962606
277	0.3960419062
278	0.3959532788
279	0.3958814888
280	0.3955762966
281	0.3953733028
282	0.3952550321
283	0.3951121575
284	0.3950045956
285	0.3948903598
286	0.3946913485
287	0.3944631007
288	0.3943256036
289	0.3941843246
290	0.3939840628
291	0.393758007
292	0.3935229293
293	0.3933141807
294	0.3931560567
295	0.3929557996
296	0.3927370561
297	0.3925744195
298	0.3923364029
299	0.39220255
300	0.3920102382
301	0.391823167
302	0.3916373957
303	0.3915232206
304	0.391383424
305	0.3911683017
306	0.391043851
307	0.3908121578
308	0.3905482237
309	0.3903811429
310	0.390211531
311	0.3900177948
312	0.3898448382
313	0.3897297871
314	0.3894547752
315	0.3891777668
316	0.3889763588
317	0.3888688786
318	0.3885666256
319	0.3882588908
320	0.3880830897
321	0.3879667864
322	0.387712739
323	0.3875171414
324	0.3874293568
325	0.3873155172
326	0.387100735
327	0.3869222202
328	0.3867749603
329	0.3866083587
330	0.3864219824
331	0.3861900766
332	0.3859684277
333	0.3857531756
334	0.3856010734
335	0.3853602689
336	0.3852140983
337	0.3850188596
338	0.3847751272
339	0.3845351391
340	0.3844020631
341	0.3843269164
342	0.3840920068
343	0.3840500764
344	0.3837436341
345	0.3835962786
346	0.3834537495
347	0.3832152758
348	0.3830146428
349	0.3826886262
350	0.3825100106
351	0.3823387904
352	0.3821191161
353	0.3819764163
354	0.3817209532
355	0.3815606703
356	0.3814043683
357	0.3812102136
358	0.3810280978
359	0.3808342268
360	0.3806129962
361	0.380386975
362	0.3802446823
363	0.3800519317
364	0.3799107541
365	0.3797265597
366	0.3794549252
367	0.3792403412
368	0.379008916
369	0.3788034078
370	0.3785292399
371	0.3783401018
372	0.3781763715
373	0.3779865405
374	0.3778314886
375	0.377595177
376	0.3774692432
377	0.3772197879
378	0.3770022232
379	0.3766940047
380	0.376420209
381	0.3762642381
382	0.3760422542
383	0.3757374738
384	0.3755524775
385	0.3753527324
386	0.3751502939
387	0.3749366302
388	0.3746547358
389	0.3744360202
390	0.3742420209
391	0.3740098282
392	0.3736682199
393	0.3733432968
394	0.373154707
395	0.3731129072
396	0.3729067002
397	0.3727304504
398	0.3725470399
399	0.3722901096
400	0.3720787515
401	0.3719036402
402	0.3716608003
403	0.3714969863
404	0.3713903768
405	0.3711269952
406	0.3709982286
407	0.3706958419
408	0.3704535521
409	0.3703242403
410	0.370164277
411	0.3698613289
412	0.3696777966
413	0.369528403
414	0.3693374637
415	0.3692331164
416	0.3689628087
417	0.3686723937
418	0.3685071472
419	0.3682855774
420	0.3680232556
421	0.3678280743
422	0.3676332893
423	0.3674008716
424	0.3671616713
425	0.3669062998
426	0.3666515791
427	0.3663458695
428	0.3660087963
429	0.3658049376
430	0.3656019103
431	0.3652900006
432	0.3651129671
433	0.3649460176
434	0.364702426
435	0.364494359
436	0.3643168814
437	0.3641352239
438	0.3638235363
439	0.3637235148
440	0.3634845281
441	0.3633506135
442	0.3632035502
443	0.363036568
444	0.3628168823
445	0.3626339199
446	0.3623906055
447	0.362172728
448	0.3620627219
449	0.3618896996
450	0.3615476925
451	0.3613635707
452	0.3611384806
453	0.3610811805
454	0.3608769463
455	0.3607007738
456	0.3605553397
457	0.3602721125
458	0.3600869421
459	0.3599314871
460	0.3597785207
461	0.3595479481
462	0.3592916242
463	0.3590600308
464	0.3589399656
465	0.3586702676
466	0.3586422187
467	0.3584181169
468	0.3582521807
469	0.3581280529
470	0.35800517
471	0.3577948623
472	0.3575694401
473	0.3573103634
474	0.3571887006
475	0.3569798279
476	0.3568722825
477	0.3566650698
478	0.3564845324
479	0.3562314952
480	0.3559112041
481	0.3557678648
482	0.3555425104
483	0.3553468832
484	0.3551248342
485	0.355001695
486	0.3547417675
487	0.3545865703
488	0.3544427465
489	0.3542366937
490	0.3542025231
491	0.3540379868
492	0.3537943569
493	0.3535610089
494	0.3533416794
495	0.3531830073
496	0.3529667073
497	0.3526589709
498	0.3523607167
499	0.3521601374
500	0.3519961776
501	0.3517309193
502	0.3515170506
503	0.3513333195
504	0.3511406294
505	0.350872849
506	0.3507354694
507	0.3505621112
508	0.3503732336
509	0.350182827
510	0.3500593436
511	0.3498675608
512	0.3495996771
513	0.3494319459
514	0.3493042202
515	0.3491446901
516	0.3490168168
517	0.3489933269
518	0.3488120875
519	0.3486715247
520	0.3484833705
521	0.3484614812
522	0.3483072654
523	0.3481172058
524	0.3478225293
525	0.3476406205
526	0.3473798428
527	0.3473094347
528	0.3471384208
529	0.3469456945
530	0.3466866884
531	0.3465776427
532	0.3464128582
533	0.3463895383
534	0.3462111733
535	0.3461929113
536	0.3459840852
537	0.345764174
538	0.3456195486
539	0.3454725163
540	0.3453284538
541	0.3451545692
542	0.3449745223
543	0.3447633785
544	0.3445378967
545	0.3443958657
546	0.3442214296
547	0.3440601861
548	0.3440198666
549	0.3439028857
550	0.3437753569
551	0.3435035731
