iter	Passed	Remaining
402	5527	8188
403	5537	8169
404	5548	8151
405	5559	8133
406	5570	8115
407	5580	8097
408	5591	8080
409	5601	8061
410	5613	8045
411	5624	8027
412	5636	8010
413	5647	7993
414	5658	7975
415	5668	7957
416	5679	7939
417	5689	7921
418	5700	7904
419	5712	7888
420	5723	7871
421	5732	7852
422	5743	7835
423	5755	7818
424	5766	7801
425	5777	7784
426	5787	7766
427	5797	7747
428	5808	7730
429	5820	7715
430	5831	7698
431	5841	7680
432	5852	7663
433	5862	7645
434	5873	7629
435	5885	7613
436	5896	7596
437	5906	7578
438	5917	7562
439	5927	7543
440	5937	7526
441	5949	7510
442	5960	7494
443	5969	7475
444	5979	7458
445	5991	7442
446	6000	7423
447	6009	7404
448	6022	7390
449	6033	7373
450	6044	7358
451	6056	7342
452	6067	7326
453	6078	7310
454	6090	7294
455	6101	7279
456	6113	7263
457	6123	7246
458	6134	7230
459	6145	7213
460	6154	7195
461	6165	7179
462	6176	7164
463	6188	7148
464	6198	7131
465	6208	7114
466	6219	7098
467	6229	7081
468	6240	7065
469	6251	7049
470	6262	7033
471	6271	7015
472	6282	6999
473	6293	6983
474	6304	6967
475	6314	6950
476	6323	6933
477	6335	6918
478	6346	6903
479	6358	6888
480	6368	6871
481	6381	6857
482	6393	6843
483	6402	6825
484	6413	6810
485	6423	6793
486	6433	6776
487	6442	6759
488	6453	6743
489	6464	6728
490	6475	6712
491	6486	6697
492	6497	6681
493	6507	6665
494	6519	6650
495	6531	6637
496	6542	6621
497	6559	6612
498	6593	6619
499	6610	6610
500	6622	6595
501	6634	6581
502	6645	6566
503	6656	6550
504	6667	6535
505	6678	6519
506	6689	6504
507	6699	6488
508	6709	6472
509	6720	6456
510	6732	6442
511	6742	6426
512	6755	6413
513	6765	6396
514	6775	6380
515	6787	6366
516	6798	6351
517	6808	6335
518	6818	6319
519	6828	6302
520	6838	6287
521	6846	6269
522	6858	6255
523	6868	6239
524	6877	6222
525	6907	6224
526	6923	6214
527	6937	6201
528	6951	6189
529	6964	6175
530	6977	6162
531	6988	6148
532	7000	6133
533	7011	6118
534	7023	6104
535	7032	6088
536	7042	6072
537	7052	6056
538	7062	6040
539	7072	6024
540	7082	6008
541	7092	5993
542	7102	5977
543	7113	5962
544	7124	5947
545	7134	5932
546	7145	5917
547	7156	5903
548	7168	5888
549	7179	5873
550	7190	5859
551	7201	5844
552	7213	5830
553	7225	5816
554	7236	5801
555	7247	5787
556	7258	5773
557	7270	5759
558	7283	5745
559	7294	5731
560	7305	5716
561	7316	5702
562	7327	5687
563	7340	5674
564	7352	5660
565	7364	5646
566	7375	5632
567	7386	5618
568	7396	5602
569	7407	5588
570	7417	5572
571	7427	5557
572	7438	5543
573	7449	5528
574	7461	5514
575	7471	5500
576	7482	5485
577	7492	5470
578	7502	5455
579	7512	5439
580	7522	5424
581	7532	5409
582	7540	5393
583	7550	5378
584	7560	5363
585	7569	5347
586	7580	5333
587	7591	5319
588	7600	5303
589	7610	5288
590	7621	5274
591	7632	5260
592	7643	5245
593	7655	5232
594	7666	5218
595	7677	5204
596	7689	5190
597	7700	5176
598	7710	5162
599	7722	5148
600	7732	5133
601	7744	5119
602	7754	5105
603	7764	5090
604	7774	5075
605	7784	5061
606	7794	5046
607	7805	5032
608	7817	5019
609	7828	5004
610	7837	4989
611	7846	4974
612	7856	4959
613	7866	4945
614	7876	4930
615	7886	4916
616	7896	4901
617	7908	4888
618	7918	4874
619	7931	4861
620	7941	4847
621	7952	4832
622	7962	4818
623	7973	4804
624	7985	4791
625	7995	4777
626	8004	4762
627	8015	4747
628	8026	4734
629	8038	4720
630	8048	4706
631	8059	4692
632	8072	4680
633	8083	4666
634	8094	4652
635	8107	4640
636	8120	4627
637	8132	4614
638	8144	4600
639	8155	4587
640	8166	4573
641	8178	4560
642	8189	4546
643	8198	4532
644	8208	4517
645	8217	4503
646	8227	4489
647	8237	4474
648	8249	4461
649	8262	4448
650	8280	4439
651	8293	4426
652	8306	4414
653	8322	4402
654	8334	4389
655	8347	4377
656	8360	4364
657	8371	4350
658	8381	4337
659	8390	4322
660	8400	4308
661	8410	4294
662	8420	4280
663	8431	4266
664	8441	4252
665	8451	4238
666	8462	4224
667	8471	4210
668	8481	4196
669	8491	4182
670	8505	4170
671	8517	4157
672	8529	4144
673	8539	4130
674	8550	4116
675	8562	4103
676	8574	4090
677	8585	4077
678	8596	4064
679	8607	4050
680	8619	4037
681	8632	4024
682	8642	4011
683	8653	3997
684	8665	3984
685	8682	3974
686	8696	3961
687	8706	3948
688	8717	3934
689	8727	3920
690	8737	3907
691	8746	3893
692	8756	3879
693	8766	3865
694	8776	3851
695	8788	3838
696	8798	3824
697	8808	3811
698	8818	3797
699	8826	3782
700	8837	3769
701	8847	3755
702	8857	3742
703	8866	3728
704	8876	3714
705	8886	3700
706	8896	3686
707	8906	3673
708	8917	3659
709	8927	3646
710	8937	3632
711	8947	3619
712	8957	3605
713	8967	3592
714	8976	3577
715	8985	3564
716	8995	3550
717	9005	3536
718	9015	3523
719	9026	3510
720	9037	3496
721	9046	3483
722	9056	3469
723	9066	3456
724	9076	3442
725	9086	3429
726	9096	3415
727	9106	3402
728	9124	3391
729	9133	3378
730	9143	3364
731	9153	3351
732	9164	3338
733	9174	3324
734	9184	3311
735	9193	3297
736	9204	3284
737	9214	3271
738	9223	3257
739	9233	3244
740	9244	3231
741	9254	3217
742	9266	3205
743	9277	3192
744	9288	3179
745	9298	3165
746	9308	3152
747	9318	3139
748	9329	3126
749	9339	3113
750	9352	3100
751	9363	3088
752	9374	3074
753	9384	3061
754	9394	3048
755	9404	3035
756	9415	3022
757	9425	3009
758	9435	2996
759	9445	2982
760	9455	2969
761	9466	2956
762	9475	2943
763	9485	2930
764	9495	2916
765	9506	2904
766	9516	2890
767	9530	2879
768	9541	2866
769	9551	2853
770	9561	2839
771	9571	2826
772	9581	2813
773	9590	2800
774	9600	2787
775	9610	2774
776	9619	2760
777	9628	2747
778	9638	2734
779	9648	2721
780	9660	2708
781	9671	2696
782	9682	2683
783	9692	2670
784	9704	2657
785	9714	2645
786	9725	2632
787	9734	2618
788	9744	2605
789	9753	2592
790	9763	2579
791	9773	2566
792	9784	2554
793	9794	2541
794	9804	2528
795	9814	2515
796	9824	2502
797	9833	2489
798	9844	2476
799	9855	2463
800	9865	2450
801	9875	2438
802	9885	2425
803	9895	2412
804	9904	2399
805	9913	2386
806	9923	2373
807	9933	2360
808	9943	2347
809	9951	2334
810	9961	2321
811	9972	2308
812	9982	2296
813	9992	2283
814	10003	2270
815	10015	2258
816	10025	2245
817	10035	2232
818	10048	2220
819	10061	2208
820	10072	2196
821	10084	2183
822	10095	2171
823	10107	2158
824	10119	2146
825	10132	2134
826	10144	2122
827	10156	2109
828	10168	2097
829	10179	2084
830	10190	2072
831	10202	2060
832	10214	2047
833	10227	2035
834	10239	2023
835	10251	2011
836	10266	1999
837	10275	1986
838	10290	1974
839	10302	1962
840	10313	1949
841	10326	1937
842	10336	1925
843	10345	1912
844	10356	1899
845	10367	1887
846	10376	1874
847	10387	1861
848	10397	1849
849	10409	1836
850	10420	1824
851	10431	1812
852	10440	1799
853	10452	1787
854	10462	1774
855	10473	1761
856	10483	1749
857	10496	1737
858	10508	1724
859	10519	1712
860	10532	1700
861	10545	1688
862	10554	1675
863	10564	1662
864	10575	1650
865	10586	1638
866	10598	1625
867	10609	1613
868	10620	1601
869	10633	1588
870	10644	1576
871	10655	1564
872	10666	1551
873	10676	1539
874	10687	1526
875	10697	1514
876	10708	1501
877	10717	1489
878	10725	1476
879	10736	1464
880	10746	1451
881	10757	1439
882	10768	1426
883	10779	1414
884	10790	1402
885	10799	1389
886	10809	1377
887	10818	1364
888	10827	1351
889	10837	1339
890	10847	1327
891	10857	1314
892	10867	1302
893	10875	1289
894	10885	1277
895	10895	1264
896	10906	1252
897	10915	1239
898	10927	1227
899	10936	1215
900	10945	1202
901	10955	1190
902	10966	1177
903	10977	1165
904	10989	1153
905	10998	1141
906	11008	1128
907	11018	1116
908	11029	1104
909	11040	1091
910	11049	1079
911	11059	1067
912	11068	1054
913	11079	1042
914	11090	1030
915	11102	1018
916	11112	1005
917	11123	993
918	11134	981
919	11144	969
