iter	Logloss
0	0.6807937869
1	0.6694044384
2	0.6581973249
3	0.6481446298
4	0.6392196206
5	0.6302883117
6	0.6224831073
7	0.6152911291
8	0.6085249151
9	0.6021262712
10	0.596298479
11	0.5907317567
12	0.5848369946
13	0.5800824198
14	0.5754171793
15	0.5706160726
16	0.5660982101
17	0.5619726263
18	0.5579786251
19	0.5546531828
20	0.5515651552
21	0.5484513501
22	0.5450319562
23	0.5417909064
24	0.5391464163
25	0.5368777333
26	0.5346804129
27	0.5324744135
28	0.5302832082
29	0.5285767038
30	0.5267770042
31	0.5249981231
32	0.5234571476
33	0.5220025212
34	0.5205379727
35	0.5189838115
36	0.5177524497
37	0.5164578399
38	0.5151350024
39	0.5141768114
40	0.512882175
41	0.511623699
42	0.5102495992
43	0.5091708049
44	0.5079886519
45	0.5070082534
46	0.506018871
47	0.5050060649
48	0.5042249569
49	0.5035539897
50	0.5027090833
51	0.5019938559
52	0.501402325
53	0.5008096127
54	0.5001270183
55	0.4995376788
56	0.4989218974
57	0.4981076049
58	0.4973504425
59	0.4966071324
60	0.4961150055
61	0.4955794916
62	0.4951985747
63	0.4946754136
64	0.4943492181
65	0.4936479628
66	0.4931784999
67	0.4926338447
68	0.4921724591
69	0.4916101542
70	0.4910509394
71	0.4906822368
72	0.4902734118
73	0.4897905608
74	0.4895281275
75	0.4891066776
76	0.4887859027
77	0.4882154168
78	0.4879418366
79	0.4875739242
80	0.4872000682
81	0.4869447547
82	0.4867288167
83	0.4862256246
84	0.4858515248
85	0.4855656996
86	0.4852809048
87	0.4849857385
88	0.4847034002
89	0.4845258275
90	0.4841876412
91	0.4839663234
92	0.4838076361
93	0.4835527787
94	0.4832720085
95	0.4830411564
96	0.4827914617
97	0.482510805
98	0.482238056
99	0.4819990298
100	0.4818391344
101	0.4815482361
102	0.4812478057
103	0.4808648642
104	0.4805572819
105	0.4803313823
106	0.4801737257
107	0.4800106975
108	0.4796439069
109	0.4793994457
110	0.4792061994
111	0.4789609586
112	0.4786545806
113	0.4784539883
114	0.4783145361
115	0.4781174605
116	0.4778816591
117	0.477657319
118	0.477420886
119	0.477258446
120	0.4770588531
121	0.4769738248
122	0.4768834446
123	0.4766905917
124	0.4765770771
125	0.4763973653
126	0.4761310652
127	0.4759311004
128	0.4756671938
129	0.475495569
130	0.4752802684
131	0.4750956908
132	0.4749066904
133	0.4748608693
134	0.4746293981
135	0.4743844668
136	0.4742965468
137	0.4741754479
138	0.4740834394
139	0.4738747053
140	0.4736469776
141	0.4735294255
142	0.4734378116
143	0.4733238064
144	0.4731005481
145	0.4728410973
146	0.4726913485
147	0.472520756
148	0.4723772366
149	0.472289193
150	0.4721440428
151	0.4720532422
152	0.4719061789
153	0.4717821983
154	0.4716850883
155	0.4715050975
156	0.4713284393
157	0.4712039605
158	0.4710960316
159	0.4708528917
160	0.4707697525
161	0.4706715046
162	0.470509685
163	0.4702647166
164	0.470110868
165	0.4699511142
166	0.4696988333
167	0.4695817501
168	0.4694443586
169	0.4692250082
170	0.4690648959
171	0.4689311967
172	0.4687317241
173	0.468626754
174	0.4684152182
175	0.4683211433
176	0.4681642084
177	0.4680557811
178	0.4679511568
179	0.4678639153
180	0.4677041279
181	0.4675980214
182	0.4675344205
183	0.467359514
184	0.4671886609
185	0.4670882049
186	0.4668222897
187	0.4666157123
188	0.4665047334
189	0.4663971901
190	0.46624017
191	0.4660611592
192	0.46593213
193	0.4657737647
194	0.4656297005
195	0.465536073
196	0.4654641102
197	0.4653026713
198	0.4651954964
199	0.4649788072
200	0.4649331792
201	0.4648080569
202	0.4647495507
203	0.4645818228
204	0.4644885491
205	0.4643159458
206	0.4642607715
207	0.4641174234
208	0.4639763489
209	0.463808246
210	0.4637250891
211	0.4636251397
212	0.4634739689
213	0.4634313761
214	0.4633810473
215	0.4633103725
216	0.4631143475
217	0.4630226188
218	0.4629640434
219	0.4628294742
220	0.4626747368
221	0.4625484021
222	0.4624396227
223	0.46229541
224	0.4622584907
225	0.462146692
226	0.4619847665
227	0.4618729057
228	0.4616021447
229	0.4614383586
230	0.4613432842
231	0.4612303583
232	0.4610824341
233	0.4610223721
234	0.4608838566
235	0.4606227667
236	0.4604856231
237	0.4604239202
238	0.4603945644
239	0.4602978428
240	0.4602419465
241	0.460138065
242	0.4600899071
243	0.4599656039
244	0.4598354447
245	0.4596018416
246	0.459452516
247	0.4593266798
248	0.4591959583
249	0.4591662646
250	0.4590496921
251	0.458979664
252	0.458889411
253	0.4587927161
254	0.458733656
255	0.458552622
256	0.4584070762
257	0.458314534
258	0.4581278285
259	0.457934806
260	0.4578281956
261	0.4577452026
262	0.4575629121
263	0.4575204539
264	0.4574573216
265	0.4573922381
266	0.4572702385
267	0.4571918443
268	0.4569949619
269	0.456920296
270	0.4567971323
271	0.4567686047
272	0.4566428692
273	0.4564998823
274	0.4563855502
275	0.4563014965
276	0.4561897851
277	0.4560652973
278	0.4559253176
279	0.4558205986
280	0.45576441
281	0.4556770535
282	0.455534821
283	0.4553279189
284	0.4551618097
285	0.4551120934
286	0.454946084
287	0.4547999754
288	0.4547326079
289	0.4545450755
290	0.4544421661
291	0.4542622149
292	0.4541061447
293	0.4539490123
294	0.4537474706
295	0.453733312
296	0.4535433363
297	0.4533519101
298	0.4532603281
299	0.4532062484
300	0.4530360378
301	0.452934023
302	0.4528205723
303	0.4527023552
304	0.452506235
305	0.4523369159
306	0.4521850613
307	0.4520072906
308	0.4518727102
309	0.4517646515
310	0.4515939992
311	0.4515529804
312	0.4514101644
313	0.4513823965
314	0.4512632558
315	0.4511122074
316	0.4509833539
317	0.450906966
318	0.4508762529
319	0.4506705757
320	0.4505871718
321	0.4505482461
322	0.4503954105
323	0.4502548164
324	0.4500749522
325	0.4500162457
326	0.4499667972
327	0.4497623763
328	0.4496048245
329	0.4494791965
330	0.4493834901
331	0.4493245546
332	0.4490906656
333	0.4489494176
334	0.4487642538
335	0.4487166289
336	0.4485852786
337	0.448385059
338	0.4481634656
339	0.4479625139
340	0.4478114173
341	0.4478019354
342	0.4475922123
343	0.4475086575
344	0.4473347845
345	0.4471106787
346	0.4470277103
347	0.4468272159
348	0.4466163398
349	0.4464373707
350	0.446389775
351	0.4462971455
352	0.4461398014
353	0.4459435166
354	0.4458445056
355	0.4456832404
356	0.4454287428
357	0.4452348667
358	0.4450542763
359	0.4450443396
360	0.4449050777
361	0.4447291765
362	0.4445686045
363	0.4444066972
364	0.4442164526
365	0.4439773648
366	0.4437618962
367	0.4435866851
368	0.4434276333
369	0.4432973662
370	0.4431475722
371	0.4430383632
372	0.4429301583
373	0.4427305353
374	0.4426065987
375	0.4424845005
376	0.4423659905
377	0.4423192012
378	0.4421910623
379	0.4420260076
380	0.4418207209
381	0.4416565959
382	0.4415241737
383	0.4414613779
384	0.4412925259
385	0.4411503794
386	0.4409975501
387	0.4408672858
388	0.4408064116
389	0.4405885951
390	0.4404388542
391	0.440330004
392	0.4401877654
393	0.4401317415
394	0.4400287671
395	0.4399468507
396	0.4397940032
397	0.4396133109
398	0.4394645899
399	0.4394298956
400	0.4392663992
401	0.4392540932
402	0.4391399227
403	0.4390472232
404	0.4389346255
405	0.4387542015
406	0.4386118867
407	0.4384539103
408	0.4383255193
409	0.4382100528
410	0.4380366242
411	0.4378814044
412	0.4376817719
413	0.4376346185
414	0.4375535489
415	0.4374126008
416	0.437323828
417	0.4372409119
418	0.4370602941
419	0.4369637502
420	0.4367638973
421	0.4367558135
422	0.4367433675
423	0.4365706007
424	0.4364033597
425	0.436223311
426	0.4360809956
427	0.4359518165
428	0.435777347
429	0.4356224807
430	0.435513265
431	0.4354538416
432	0.4353443692
433	0.4352313083
434	0.4351147499
435	0.4349745627
436	0.4347578471
437	0.4346899457
438	0.4344713888
439	0.4344650292
440	0.434407069
441	0.4342730464
442	0.4341089423
443	0.4341006301
444	0.4340011958
445	0.4338267303
446	0.4338091526
447	0.4338020922
448	0.4336995235
449	0.4335082924
450	0.4332887518
451	0.4331499238
452	0.4330071084
453	0.4328349857
454	0.4326210801
455	0.4324207201
456	0.4322968481
457	0.4322291259
458	0.4321663711
459	0.432033362
460	0.432026252
461	0.431864809
462	0.4317190154
463	0.4314714443
464	0.4314031458
465	0.4312114855
466	0.4310826146
467	0.431020931
468	0.4308868806
469	0.430740006
470	0.4306966991
471	0.4306901797
472	0.4305863919
473	0.4304709366
474	0.4304554393
475	0.4303619671
476	0.4302883461
477	0.4301335521
478	0.4299410339
479	0.429844789
480	0.429746901
481	0.4295929266
482	0.4294353164
483	0.4294297986
484	0.4293213359
485	0.4291578209
486	0.4290116329
487	0.4289811155
488	0.4288465663
489	0.4287085617
490	0.4285758744
491	0.4284414677
492	0.4283181636
493	0.4281839413
494	0.4280394907
495	0.4278948974
496	0.4278890591
497	0.4277277264
498	0.4276118314
499	0.4274038405
500	0.4272544431
501	0.4271258422
502	0.4269711565
503	0.42684346
504	0.4267832295
505	0.4266721428
506	0.4265346955
507	0.4264477709
508	0.4263142331
509	0.4261842446
510	0.42604097
511	0.4259176506
512	0.4257474475
513	0.425743182
514	0.4257379701
515	0.4256422866
516	0.4254837542
517	0.4254072534
518	0.4252897948
519	0.4251559421
520	0.4250474401
521	0.4250212681
522	0.4248456867
523	0.4248393605
524	0.4247705425
525	0.4247226845
526	0.4246280731
527	0.4245275942
528	0.4243448035
529	0.4242149912
530	0.4239892426
531	0.423836044
532	0.4236803121
533	0.4235740543
534	0.4234580627
535	0.4233364081
536	0.4231900209
537	0.423087535
538	0.4229745518
539	0.4228788255
540	0.4227424818
541	0.4227346604
542	0.4225545144
543	0.4223720674
544	0.4221406743
545	0.4220464018
546	0.4219263866
547	0.4217234805
548	0.4215779923
549	0.4214533512
550	0.4213155087
551	0.4212021738
552	0.421033588
553	0.4209624147
554	0.4208845657
555	0.4208178683
556	0.4207068797
557	0.4206003409
558	0.4204666685
559	0.4202480613
560	0.420138097
561	0.4199840262
562	0.4198294665
563	0.4197413998
564	0.4195920756
565	0.4195158252
566	0.4194526118
567	0.4193814704
568	0.4192557983
569	0.4191195893
570	0.4189639808
571	0.4187905323
572	0.4186452656
573	0.418499996
574	0.4183760229
575	0.4181628754
576	0.4180549318
577	0.4179571498
578	0.4178806581
579	0.4177794401
580	0.4176140433
581	0.4174315979
582	0.4174277366
583	0.4173768499
584	0.4172511889
585	0.4171374
586	0.4169804226
587	0.4168647155
588	0.4168597259
589	0.4167338938
590	0.4166813242
591	0.4165886371
592	0.4164988943
593	0.4163826296
594	0.4163768188
595	0.4162339428
596	0.4161043092
597	0.4159834806
598	0.4158490827
599	0.4157775333
600	0.4157657661
601	0.4156536981
602	0.4155660057
603	0.4154343318
604	0.4153349928
605	0.4152226309
606	0.415131097
607	0.4150164948
608	0.4149199687
609	0.4147522383
610	0.4147474434
611	0.4146248889
612	0.4145473621
613	0.4144018023
614	0.4143471213
615	0.4142603563
616	0.4141605567
617	0.4140981327
618	0.4139875596
619	0.4139334432
620	0.4138159429
621	0.4136957124
622	0.4135782197
623	0.4134975947
624	0.4133600246
625	0.4132196808
626	0.4131905175
627	0.4131259787
628	0.4129864162
629	0.4128626056
630	0.4128590438
631	0.4127953508
632	0.4126737299
633	0.4126696905
634	0.4125320307
635	0.4124223409
636	0.4123149483
637	0.4121469787
638	0.4119478464
639	0.411888503
640	0.411759454
641	0.4116130893
642	0.411539645
643	0.4115346754
644	0.4114395432
645	0.4114205734
646	0.4113080471
647	0.4112351825
648	0.4111143913
649	0.4109957119
650	0.4108636294
651	0.4107346284
652	0.4106425381
653	0.4105128738
654	0.4104226154
655	0.4103772871
656	0.4102294674
657	0.4100797032
658	0.4099147825
659	0.4099101916
660	0.4097263684
661	0.4096066426
662	0.409473167
663	0.4093445851
664	0.4092461674
665	0.4091223891
666	0.4090340956
667	0.4089102793
668	0.4088526528
669	0.4087382104
670	0.4086559984
671	0.408581442
672	0.4084778088
673	0.408465538
674	0.4083998669
675	0.40825711
676	0.4081870143
677	0.4081842351
678	0.4080465646
679	0.407926279
680	0.4077993749
681	0.4076815589
682	0.4076779227
683	0.407578674
684	0.4074822901
685	0.4073631583
686	0.4072733457
687	0.4071462755
688	0.406999535
689	0.4069313276
690	0.4068105867
691	0.4067356797
692	0.4065932736
693	0.4064502224
694	0.4064466621
695	0.4063640291
696	0.4062596074
697	0.4061871193
698	0.406034565
699	0.4060291008
700	0.4058912008
701	0.4058129896
702	0.4057110941
703	0.4056213744
704	0.4055559667
705	0.4054685223
706	0.4053418881
707	0.4052747002
708	0.4052033348
709	0.40512539
710	0.4050479428
711	0.4049246067
712	0.4048190973
713	0.4046933663
714	0.4046875186
715	0.404542573
716	0.4044351436
717	0.4043367036
718	0.4042288907
719	0.4040813379
720	0.4040602967
721	0.4039249033
722	0.4038205091
723	0.4037070509
724	0.4036156483
725	0.4034171691
726	0.4032934072
727	0.4032343627
728	0.4031796126
729	0.4031149568
730	0.402996087
731	0.4029198014
732	0.4028235486
733	0.4027254857
734	0.402547575
735	0.4024083252
736	0.4022799508
737	0.4021494805
738	0.4019905001
739	0.4018222756
740	0.4017669679
741	0.4017278864
742	0.4016551491
743	0.4015266988
744	0.401396915
745	0.4013307644
746	0.4012099853
747	0.4011260555
748	0.4010327225
749	0.4009662879
750	0.4008300273
751	0.40075434
752	0.4006113476
753	0.4005245386
754	0.4004033088
755	0.4003293578
756	0.4001644367
757	0.4000377819
758	0.3999019586
759	0.3998204228
760	0.3997405448
761	0.3996571408
762	0.399578441
763	0.3994783841
764	0.3993191056
765	0.3991920726
766	0.3991073071
767	0.3990068595
768	0.3988419317
769	0.3986811651
770	0.3986066659
771	0.3984994457
772	0.3983616808
773	0.3983309732
774	0.3982206334
775	0.3981500878
776	0.3980493107
777	0.3980439151
778	0.3979467931
779	0.3978544817
780	0.3977510451
781	0.3976391233
782	0.3975662868
783	0.3974819248
784	0.3973333392
785	0.3972266705
786	0.3970865816
787	0.3970842403
788	0.3970623476
789	0.3969340857
790	0.3968367744
791	0.3967346719
792	0.3966383127
793	0.3964902623
794	0.3963324345
795	0.3962380672
796	0.3961252556
797	0.3960383118
798	0.3959591874
799	0.3958377005
800	0.3957637988
801	0.3956587346
802	0.395557493
803	0.3954281982
804	0.3954250014
805	0.3954083509
806	0.3953540474
807	0.3952466569
808	0.395153209
809	0.3951497387
810	0.3951114771
811	0.395024254
812	0.3949102792
813	0.3948504555
814	0.3947485283
815	0.3946771289
816	0.3946416382
817	0.3946367329
818	0.394506065
819	0.3943610405
820	0.3942893397
821	0.3941675038
822	0.3940983102
823	0.394020779
824	0.3938607965
825	0.3937544777
826	0.3936587324
827	0.393632076
828	0.3935756466
829	0.3934439267
830	0.3933644376
831	0.3932419036
832	0.3931255185
833	0.393027658
834	0.3929424331
835	0.3928340703
836	0.3927270448
837	0.3926420041
838	0.3925283195
839	0.3924296255
840	0.3923775319
841	0.3922886404
842	0.392201336
843	0.3921515041
844	0.3920519576
845	0.3920059893
846	0.3918883951
847	0.3918062873
848	0.3916775847
849	0.3915552236
850	0.3915163192
851	0.3913759414
852	0.3912797093
853	0.3912017569
854	0.3911430032
855	0.3910343472
856	0.3909612004
857	0.3908310369
858	0.3907069426
859	0.3905864888
860	0.3904550398
861	0.3903575111
862	0.3902929217
863	0.3902130922
864	0.3901055504
865	0.3900221369
866	0.3899662145
867	0.3898703452
868	0.3897402941
869	0.3896341065
870	0.3895845158
871	0.3895239106
872	0.3894277406
873	0.3893813148
874	0.3892520912
875	0.3891455942
876	0.389023537
877	0.3889944029
878	0.3889819301
879	0.38888887
880	0.3887871242
881	0.3887318071
882	0.3886484913
883	0.3885576486
884	0.3885326576
885	0.3885291364
886	0.3884192529
887	0.3884103958
888	0.3883575586
889	0.3882779596
890	0.3881927577
891	0.3880687209
892	0.3879902248
893	0.3879534207
894	0.3878638749
895	0.3878607575
896	0.3877056005
897	0.3876081637
898	0.3875208197
899	0.3874326837
900	0.3874214938
901	0.387335876
902	0.3872320442
903	0.3871606969
904	0.3870945919
905	0.3870361535
906	0.3869529513
907	0.3868658794
908	0.3867238383
909	0.3865963132
910	0.3865938581
911	0.3864881566
912	0.386436892
913	0.386352773
914	0.3862978453
915	0.3862141533
916	0.3861181897
917	0.3860046134
918	0.3859072148
919	0.3858166066
920	0.38576376
921	0.3856699167
922	0.3855283178
923	0.3853946541
924	0.385392516
925	0.3852921387
926	0.385218045
927	0.3850891206
928	0.3850495702
929	0.3850471237
930	0.3849659421
931	0.3848700182
932	0.3847850655
933	0.3846899363
934	0.3846828148
935	0.3846188611
936	0.3845223934
937	0.3843660454
938	0.3842846075
939	0.3841843816
940	0.3841328515
941	0.384008172
942	0.3839314217
943	0.3838325438
944	0.3837206455
945	0.3836106486
946	0.3835008197
947	0.3833783287
948	0.3832733667
949	0.3831376965
950	0.3830821014
951	0.383076562
952	0.3829784018
953	0.3828966002
954	0.3828293972
955	0.3827157743
956	0.3825550411
957	0.3824563284
958	0.3823438152
959	0.3822446805
960	0.3821366858
961	0.3820473674
962	0.381990495
963	0.3818698701
964	0.3818648095
965	0.3817682805
966	0.3816300747
967	0.381518198
968	0.3814404746
969	0.3813465537
970	0.3812742494
971	0.3811952461
972	0.3811929345
973	0.3811123154
974	0.3811094084
975	0.3810369961
976	0.3810231651
977	0.3809600628
978	0.3808993796
979	0.3807927926
980	0.3807542157
981	0.3806459655
982	0.3805894907
983	0.3804987329
984	0.38049298
985	0.3804145038
986	0.3803063843
987	0.3803017792
988	0.3802053976
989	0.380094207
990	0.3799913076
991	0.3799143871
992	0.3798360639
993	0.379764043
994	0.3796948278
995	0.3796423448
996	0.3795734952
997	0.3794191667
998	0.3793160002
999	0.3791673549
